datasource,symbol,message_count,bytes,duration,start_time,end_time
dydx,BCH-USD,1,10876,50,1710117137,1710117187
dydx,ATOM-USD,2,11217,50,1710117137,1710117187
dydx,MATIC-USD,5,12121,50,1710117137,1710117187
dydx,LTC-USD,1,10821,50,1710117137,1710117187
dydx,MKR-USD,1,10925,50,1710117137,1710117187
dydx,ETH-USD,12,16149,50,1710117137,1710117187
dydx,BTC-USD,7,13709,50,1710117137,1710117187
dydx,XTZ-USD,1,10828,50,1710117137,1710117187
dydx,ADA-USD,1,10802,50,1710117137,1710117187
dydx,AVAX-USD,3,11357,50,1710117137,1710117187
dydx,ALGO-USD,1,10922,50,1710117137,1710117187
dydx,DOGE-USD,1,11111,50,1710117137,1710117187
dydx,SUSHI-USD,1,10518,50,1710117137,1710117187
dydx,LINK-USD,5,12307,50,1710117137,1710117187
dydx,ICP-USD,3,11359,50,1710117137,1710117187
dydx,NEAR-USD,1,10874,50,1710117137,1710117187
dydx,EOS-USD,1,10784,50,1710117137,1710117187
dydx,UNI-USD,1,10911,50,1710117137,1710117187
dydx,UMA-USD,1,10786,50,1710117137,1710117187
dydx,CRV-USD,1,10954,50,1710117137,1710117187
dydx,FIL-USD,1,10848,50,1710117137,1710117187
dydx,XMR-USD,1,10925,50,1710117137,1710117187
dydx,YFI-USD,1,11006,50,1710117137,1710117187
dydx,CELO-USD,1,10746,50,1710117137,1710117187
dydx,AAVE-USD,5,12215,50,1710117137,1710117187
dydx,XLM-USD,1,10988,50,1710117137,1710117187
dydx,COMP-USD,4,11726,50,1710117137,1710117187
dydx,SNX-USD,1,10856,50,1710117137,1710117187
dydx,DOT-USD,2,11113,50,1710117137,1710117187
dydx,TRX-USD,1,10987,50,1710117137,1710117187
dydx,1INCH-USD,1,10820,50,1710117137,1710117187
dydx,ZRX-USD,3,11572,50,1710117137,1710117187
dydx,ETC-USD,1,10840,50,1710117137,1710117187
dydx,RUNE-USD,1,10792,50,1710117137,1710117187
dydx,ZEC-USD,1,10780,50,1710117137,1710117187
dydx,SOL-USD,6,12570,50,1710117137,1710117187
dydx,ENJ-USD,1,10811,50,1710117137,1710117187
