datasource,symbol,message_count,bytes,duration,start_time,end_time
kraken,ACH/USD,11,2305,50,1710117137,1710117187
kraken,ADA/AUD,2,469,50,1710117137,1710117187
kraken,ADA/ETH,2,522,50,1710117137,1710117187
kraken,ADA/EUR,2,474,50,1710117137,1710117187
kraken,ADA/GBP,2,471,50,1710117137,1710117187
kraken,ADA/USD,5,1063,50,1710117137,1710117187
kraken,ADA/USDT,2,506,50,1710117137,1710117187
kraken,ADA/XBT,2,526,50,1710117137,1710117187
kraken,ADX/EUR,2,486,50,1710117137,1710117187
kraken,ADX/USD,2,486,50,1710117137,1710117187
kraken,ATOM/ETH,2,494,50,1710117137,1710117187
kraken,ATOM/EUR,2,480,50,1710117137,1710117187
kraken,ATOM/GBP,2,479,50,1710117137,1710117187
kraken,ATOM/USD,2,479,50,1710117137,1710117187
kraken,ATOM/USDT,2,515,50,1710117137,1710117187
kraken,ATOM/XBT,2,492,50,1710117137,1710117187
kraken,AUDIO/EUR,2,471,50,1710117137,1710117187
kraken,AUDIO/USD,2,470,50,1710117137,1710117187
kraken,AUD/JPY,2,430,50,1710117137,1710117187
kraken,AUD/USD,5,1071,50,1710117137,1710117187
kraken,AGLD/EUR,2,464,50,1710117137,1710117187
kraken,AGLD/USD,2,466,50,1710117137,1710117187
kraken,AIR/EUR,2,479,50,1710117137,1710117187
kraken,AIR/USD,8,1640,50,1710117137,1710117187
kraken,AKT/EUR,5,1021,50,1710117137,1710117187
kraken,AKT/USD,5,1041,50,1710117137,1710117187
kraken,ALCX/EUR,2,451,50,1710117137,1710117187
kraken,ALCX/USD,2,454,50,1710117137,1710117187
kraken,ALGO/ETH,2,521,50,1710117137,1710117187
kraken,ALGO/EUR,2,476,50,1710117137,1710117187
kraken,APT/EUR,2,508,50,1710117137,1710117187
kraken,APT/USD,2,510,50,1710117137,1710117187
kraken,ARB/EUR,2,482,50,1710117137,1710117187
kraken,ARB/USD,2,488,50,1710117137,1710117187
kraken,ARPA/EUR,2,520,50,1710117137,1710117187
kraken,ARPA/USD,2,521,50,1710117137,1710117187
kraken,ASTR/EUR,8,1753,50,1710117137,1710117187
kraken,ASTR/USD,8,1587,50,1710117137,1710117187
kraken,ATLAS/EUR,2,505,50,1710117137,1710117187
kraken,ATLAS/USD,2,504,50,1710117137,1710117187
kraken,BAND/EUR,5,1013,50,1710117137,1710117187
kraken,BAND/USD,5,1000,50,1710117137,1710117187
kraken,BAT/ETH,2,522,50,1710117137,1710117187
kraken,BAT/EUR,2,473,50,1710117137,1710117187
kraken,BAT/JPY,2,468,50,1710117137,1710117187
kraken,BAT/USD,2,472,50,1710117137,1710117187
kraken,BAT/XBT,2,520,50,1710117137,1710117187
kraken,BCH/AUD,2,486,50,1710117137,1710117187
kraken,BCH/ETH,2,484,50,1710117137,1710117187
kraken,BCH/EUR,2,484,50,1710117137,1710117187
kraken,CRV/XBT,2,508,50,1710117137,1710117187
kraken,CSM/EUR,2,541,50,1710117137,1710117187
kraken,CSM/USD,2,548,50,1710117137,1710117187
kraken,CTSI/EUR,2,469,50,1710117137,1710117187
kraken,CTSI/USD,2,482,50,1710117137,1710117187
