"","symbol","message_count","bytes","seconds_spent"
"1","CBETH-ETH",1,416,120
"2","FORT-USD",71,29591,120
"3","NEAR-USDT",4,1632,120
"4","LTC-BTC",8,3504,120
"5","BAT-EUR",2,835,120
"6","MANA-USD",11,4605,120
"7","CHZ-USD",1,418,120
"8","LCX-USD",15,6203,120
"9","ALICE-USD",1,402,120
"10","BLUR-USD",18,7486,120
"11","LTC-BTC",1,439,120
"12","LTC-GBP",1,414,120
"13","JTO-USD",8,3297,120
"14","BTC-USD",252,110409,120
"15","ATOM-GBP",1,400,120
"16","DOGE-GBP",3,1252,120
"17","TRB-USD",2,825,120
"18","APT-USDT",1,397,120
"19","GHST-USD",1,407,120
"20","MANA-EUR",2,824,120
"21","VARA-USD",8,3310,120
"22","BLUR-USD",29,12107,120
"23","FORT-USD",64,26699,120
"24","MANA-USD",4,1675,120
"25","LCX-USD",99,40979,120
"26","CHZ-USD",11,4602,120
"27","NEAR-USDT",1,408,120
"28","BTC-USD",210,92044,120
"29","LINK-ETH",1,433,120
"30","GAL-USD",3,1230,120
"31","ADA-USD",20,8408,120
"32","LSETH-USD",1,413,120
"33","CRO-EUR",1,413,120
"34","DNT-USD",1,420,120
"35","ORN-USD",8,3259,120
"36","ZEN-USD",9,3681,120
"37","AVAX-USDT",1,407,120
"38","MNDE-USD",5,2104,120
"39","BLUR-USD",9,3749,120
"40","FORT-USD",54,22508,120
"41","DOGE-GBP",2,834,120
"42","VARA-USD",6,2499,120
"43","JTO-USD",3,1233,120
"44","LCX-USD",24,9930,120
"45","CHZ-USD",1,418,120
"46","NEAR-USDT",2,815,120
"47","TRB-USD",3,1232,120
"48","FORT-USD",96,40105,120
"49","SAND-USDT",1,408,120
"50","LOKA-USD",1,413,120
"51","FLR-USD",11,4614,120
"52","CTX-USD",1,403,120
"53","OCEAN-USD",6,2489,120
"54","STORJ-USD",8,3366,120
"55","CBETH-USD",5,2104,120
"56","ALGO-BTC",1,434,120
"57","XCN-USD",96,41444,120
"58","GRT-BTC",5,2213,120
"59","ADA-USD",27,11394,120
"60","BTC-USD",159,69721,120
"61","GAL-USD",4,1649,120
"62","LCX-USD",36,14923,120
"63","AVAX-USDT",10,4103,120
"64","APT-USDT",5,2008,120
"65","BLUR-USD",15,6231,120
"66","VARA-USD",5,2088,120
"67","ORN-USD",12,4880,120
"68","CHZ-USD",4,1678,120
"69","LTC-BTC",14,6086,120
"70","ZEN-USD",1,407,120
"71","TRB-USD",1,414,120
"72","JTO-USD",1,412,120
"73","BTC-USD",201,88064,120
"74","ADA-BTC",2,882,120
"75","TVK-USD",7,2910,120
"76","CVC-USD",24,9887,120
"77","SUPER-USD",39,16378,120
"78","ATOM-USDT",1,406,120
"79","ROSE-USDT",1,419,120
"80","LRC-USDT",1,414,120
"81","HOPR-USD",1,414,120
"82","ARB-USD",16,6630,120
"83","BAT-BTC",2,873,120
"84","CHZ-USD",2,838,120
"85","FORT-USD",92,38550,120
"86","XCN-USD",53,22926,120
"87","LCX-USD",6,2482,120
"88","ZEN-USD",10,4095,120
"89","VARA-USD",8,3327,120
"90","OCEAN-USD",10,4134,120
"91","ORN-USD",7,2849,120
"92","ADA-USD",24,10092,120
"93","BLUR-USD",14,5834,120
"94","STORJ-USD",2,837,120
"95","MANA-USD",2,836,120
"96","TRB-USD",3,1238,120
"97","LTC-GBP",4,1642,120
