datasource,symbol,message_count,bytes,duration,start_time,end_time
dydx,ICP-USD,1,10846,30,1708328595,1708328625
dydx,LTC-USD,1,10700,30,1708328595,1708328625
dydx,CELO-USD,1,10788,30,1708328595,1708328625
dydx,LINK-USD,1,10921,30,1708328595,1708328625
dydx,DOGE-USD,1,11091,30,1708328595,1708328625
dydx,ALGO-USD,2,11236,30,1708328595,1708328625
dydx,MKR-USD,1,10899,30,1708328595,1708328625
dydx,BCH-USD,1,10831,30,1708328595,1708328625
dydx,MATIC-USD,1,10868,30,1708328595,1708328625
dydx,SUSHI-USD,1,10845,30,1708328595,1708328625
dydx,YFI-USD,1,10984,30,1708328625,1708328655
dydx,AVAX-USD,1,10789,30,1708328625,1708328655
dydx,SOL-USD,1,10966,30,1708328625,1708328655
dydx,AAVE-USD,1,10861,30,1708328625,1708328655
dydx,XMR-USD,1,10931,30,1708328625,1708328655
dydx,XTZ-USD,1,10824,30,1708328625,1708328655
dydx,XLM-USD,1,10971,30,1708328625,1708328655
dydx,COMP-USD,1,10757,30,1708328625,1708328655
dydx,ADA-USD,1,10833,30,1708328625,1708328655
dydx,ALGO-USD,1,298,30,1708328625,1708328655
dydx,ATOM-USD,1,10891,30,1708328625,1708328655
dydx,SNX-USD,1,10881,30,1708328655,1708328685
dydx,TRX-USD,1,11017,30,1708328655,1708328685
dydx,DOT-USD,1,10744,30,1708328655,1708328685
dydx,1INCH-USD,1,10783,30,1708328655,1708328685
dydx,ZRX-USD,1,10800,30,1708328655,1708328685
dydx,EOS-USD,1,10861,30,1708328655,1708328685
dydx,NEAR-USD,1,10858,30,1708328655,1708328685
dydx,ENJ-USD,1,10888,30,1708328655,1708328685
dydx,UNI-USD,1,10857,30,1708328655,1708328685
dydx,ETH-USD,3,11649,30,1708328655,1708328685
dydx,MATIC-USD,3,896,30,1708328655,1708328685
dydx,MATIC-USD,1,298,30,1708328685,1708328716
dydx,ZEC-USD,1,10819,30,1708328685,1708328716
dydx,BTC-USD,3,11896,30,1708328685,1708328716
dydx,UMA-USD,1,10730,30,1708328685,1708328716
dydx,RUNE-USD,1,10753,30,1708328685,1708328716
dydx,ETC-USD,1,10773,30,1708328685,1708328716
dydx,FIL-USD,2,11095,30,1708328685,1708328716
dydx,CRV-USD,1,10915,30,1708328685,1708328716
dydx,SOL-USD,1,296,30,1708328685,1708328716
dydx,ETH-USD,1,946,30,1708328685,1708328716
dydx,DOT-USD,1,295,30,1708328685,1708328716
dydx,COMP-USD,1,404,30,1708328685,1708328716
dydx,ICP-USD,1,402,30,1708328685,1708328716
