datasource,symbol,message_count,bytes,duration,start_time,end_time
kraken,1INCH/EUR,2,458,30,1708328595,1708328625
kraken,1INCH/USD,2,464,30,1708328595,1708328625
kraken,AAVE/ETH,2,438,30,1708328595,1708328625
kraken,AAVE/EUR,2,456,30,1708328595,1708328625
kraken,AAVE/GBP,2,452,30,1708328595,1708328625
kraken,AAVE/USD,2,459,30,1708328595,1708328625
kraken,AAVE/XBT,2,471,30,1708328595,1708328625
kraken,ACA/EUR,2,460,30,1708328595,1708328625
kraken,ACA/USD,2,462,30,1708328595,1708328625
kraken,ACH/EUR,2,500,30,1708328595,1708328625
kraken,ACH/USD,2,498,30,1708328625,1708328655
kraken,ADA/AUD,2,472,30,1708328625,1708328655
kraken,ADA/ETH,2,522,30,1708328625,1708328655
kraken,ADA/EUR,2,483,30,1708328625,1708328655
kraken,ADA/GBP,2,472,30,1708328625,1708328655
kraken,ADA/USD,2,479,30,1708328625,1708328655
kraken,ADA/USDT,2,511,30,1708328625,1708328655
kraken,ADA/XBT,2,529,30,1708328625,1708328655
kraken,ADX/EUR,2,484,30,1708328625,1708328655
kraken,ADX/USD,2,486,30,1708328625,1708328655
kraken,ACH/EUR,3,599,30,1708328625,1708328655
kraken,AGLD/EUR,2,463,30,1708328655,1708328686
kraken,AGLD/USD,2,462,30,1708328655,1708328686
kraken,AIR/EUR,2,473,30,1708328655,1708328686
kraken,AIR/USD,2,480,30,1708328655,1708328686
kraken,AKT/EUR,2,464,30,1708328655,1708328686
kraken,AKT/USD,2,470,30,1708328655,1708328686
kraken,ALCX/EUR,2,452,30,1708328655,1708328686
kraken,ALCX/USD,2,455,30,1708328655,1708328686
kraken,ALGO/ETH,2,520,30,1708328655,1708328686
kraken,ALGO/EUR,5,1061,30,1708328655,1708328686
kraken,ACH/EUR,3,600,30,1708328655,1708328686
kraken,ADA/EUR,21,4073,30,1708328655,1708328686
kraken,ADA/USDT,6,1231,30,1708328655,1708328686
kraken,ALGO/GBP,2,475,30,1708328686,1708328716
kraken,ALGO/USD,5,1059,30,1708328686,1708328716
kraken,ALGO/USDT,2,527,30,1708328686,1708328716
kraken,ALGO/XBT,2,526,30,1708328686,1708328716
kraken,ALICE/EUR,2,451,30,1708328686,1708328716
kraken,ALICE/USD,2,452,30,1708328686,1708328716
kraken,ALPHA/EUR,2,526,30,1708328686,1708328716
kraken,ALPHA/USD,2,525,30,1708328686,1708328716
kraken,ANKR/EUR,2,498,30,1708328686,1708328716
kraken,ANKR/USD,2,496,30,1708328686,1708328716
kraken,ADA/EUR,3,579,30,1708328686,1708328716
kraken,ADA/USD,9,1984,30,1708328686,1708328716
kraken,ALGO/EUR,3,584,30,1708328716,1708328746
kraken,ANKR/XBT,2,546,30,1708328716,1708328746
kraken,ANT/ETH,2,469,30,1708328716,1708328746
kraken,ANT/EUR,2,444,30,1708328716,1708328746
kraken,ANT/USD,2,447,30,1708328716,1708328746
kraken,ANT/XBT,2,502,30,1708328716,1708328746
kraken,APE/EUR,2,468,30,1708328716,1708328746
kraken,APE/USD,2,469,30,1708328716,1708328746
