datasource,symbol,message_count,bytes,duration,start_time,end_time
binance-futures,BTCUSDT,17261,3012270,60,1708397116,1708397177
binance-futures,LINKUSDT,1606,278350,60,1708397116,1708397177
binance-futures,ETCUSDT,1294,221158,60,1708397116,1708397177
binance-futures,ETHUSDT,24273,4215663,60,1708397116,1708397177
binance-futures,XRPUSDT,2283,397764,60,1708397116,1708397177
binance-futures,BCHUSDT,934,160184,60,1708397116,1708397177
binance-futures,XLMUSDT,555,95204,60,1708397116,1708397177
binance-futures,EOSUSDT,933,162408,60,1708397116,1708397177
binance-futures,TRXUSDT,332,57349,60,1708397116,1708397177
binance-futures,LTCUSDT,899,154868,60,1708397116,1708397177
binance-futures,ETHUSDT,23582,4097437,60,1708397177,1708397238
binance-futures,EOSUSDT,1148,199820,60,1708397177,1708397238
binance-futures,ETCUSDT,1327,226589,60,1708397177,1708397238
binance-futures,BTCUSDT,17930,3129860,60,1708397177,1708397238
binance-futures,XRPUSDT,2749,480138,60,1708397177,1708397238
binance-futures,LINKUSDT,1922,332283,60,1708397177,1708397238
binance-futures,BCHUSDT,834,142917,60,1708397177,1708397238
binance-futures,LTCUSDT,1173,201959,60,1708397177,1708397238
binance-futures,TRXUSDT,534,92054,60,1708397177,1708397238
binance-futures,XLMUSDT,679,116394,60,1708397177,1708397238
binance-futures,ATOMUSDT,741,128081,60,1708397177,1708397238
binance-futures,XTZUSDT,333,57285,60,1708397177,1708397238
binance-futures,BNBUSDT,1296,223209,60,1708397177,1708397238
binance-futures,ADAUSDT,3369,579538,60,1708397177,1708397238
binance-futures,XMRUSDT,541,93142,60,1708397177,1708397238
binance-futures,IOTAUSDT,410,71364,60,1708397177,1708397238
binance-futures,ZECUSDT,256,44402,60,1708397177,1708397238
binance-futures,ONTUSDT,219,37915,60,1708397177,1708397238
binance-futures,BATUSDT,445,76763,60,1708397177,1708397238
binance-futures,DASHUSDT,188,32618,60,1708397177,1708397238
binance-futures,LINKUSDT,1686,291741,60,1708397238,1708397299
binance-futures,XLMUSDT,686,117488,60,1708397238,1708397299
binance-futures,EOSUSDT,1816,315242,60,1708397238,1708397299
binance-futures,ETHUSDT,22969,3992424,60,1708397238,1708397299
binance-futures,LTCUSDT,1165,200451,60,1708397238,1708397299
binance-futures,ETCUSDT,1315,224706,60,1708397238,1708397299
binance-futures,BTCUSDT,14943,2612247,60,1708397238,1708397299
binance-futures,TRXUSDT,602,103746,60,1708397238,1708397299
binance-futures,XRPUSDT,2621,457655,60,1708397238,1708397299
binance-futures,BCHUSDT,706,121314,60,1708397238,1708397299
binance-futures,XMRUSDT,949,163009,60,1708397238,1708397299
binance-futures,ADAUSDT,3099,532845,60,1708397238,1708397299
binance-futures,BNBUSDT,2094,360373,60,1708397238,1708397299
binance-futures,ATOMUSDT,839,145125,60,1708397238,1708397299
binance-futures,ZECUSDT,525,90238,60,1708397238,1708397299
binance-futures,DASHUSDT,440,75870,60,1708397238,1708397299
binance-futures,ONTUSDT,285,49340,60,1708397238,1708397299
binance-futures,XTZUSDT,595,102203,60,1708397238,1708397299
binance-futures,IOTAUSDT,585,101640,60,1708397238,1708397299
binance-futures,BATUSDT,493,85085,60,1708397238,1708397299
binance-futures,THETAUSDT,643,111323,60,1708397238,1708397299
binance-futures,ALGOUSDT,669,117042,60,1708397238,1708397299
binance-futures,COMPUSDT,514,88087,60,1708397238,1708397299
binance-futures,QTUMUSDT,472,80222,60,1708397238,1708397299
binance-futures,VETUSDT,667,116501,60,1708397238,1708397299
binance-futures,ZILUSDT,451,78149,60,1708397238,1708397299
binance-futures,NEOUSDT,471,80578,60,1708397238,1708397299
binance-futures,IOSTUSDT,274,47911,60,1708397238,1708397299
binance-futures,KNCUSDT,332,56374,60,1708397238,1708397299
binance-futures,ZRXUSDT,633,109003,60,1708397238,1708397299
binance-futures,BNBUSDT,1436,247466,60,1708397299,1708397360
binance-futures,IOTAUSDT,639,110940,60,1708397299,1708397360
binance-futures,BATUSDT,1055,182584,60,1708397299,1708397360
binance-futures,ADAUSDT,3127,537646,60,1708397299,1708397360
binance-futures,ZECUSDT,406,69886,60,1708397299,1708397360
binance-futures,DASHUSDT,277,47891,60,1708397299,1708397360
binance-futures,ATOMUSDT,845,146176,60,1708397299,1708397360
binance-futures,XMRUSDT,734,126009,60,1708397299,1708397360
binance-futures,ONTUSDT,291,50372,60,1708397299,1708397360
binance-futures,XTZUSDT,316,54329,60,1708397299,1708397360
binance-futures,BTCUSDT,11596,2024494,60,1708397299,1708397360
binance-futures,BCHUSDT,559,96036,60,1708397299,1708397360
binance-futures,ETHUSDT,20440,3558379,60,1708397299,1708397360
binance-futures,XRPUSDT,2046,356897,60,1708397299,1708397360
binance-futures,EOSUSDT,1524,264214,60,1708397299,1708397360
binance-futures,LTCUSDT,1659,285353,60,1708397299,1708397360
binance-futures,TRXUSDT,354,61061,60,1708397299,1708397360
binance-futures,LINKUSDT,1583,273698,60,1708397299,1708397360
binance-futures,ETCUSDT,1273,217552,60,1708397299,1708397360
binance-futures,XLMUSDT,988,169213,60,1708397299,1708397360
binance-futures,ALGOUSDT,695,121988,60,1708397299,1708397360
binance-futures,NEOUSDT,624,106724,60,1708397299,1708397360
binance-futures,KNCUSDT,330,56002,60,1708397299,1708397360
binance-futures,QTUMUSDT,456,77447,60,1708397299,1708397360
binance-futures,THETAUSDT,499,86308,60,1708397299,1708397360
binance-futures,COMPUSDT,462,79230,60,1708397299,1708397360
binance-futures,ZRXUSDT,507,87272,60,1708397299,1708397360
binance-futures,IOSTUSDT,227,39797,60,1708397299,1708397360
binance-futures,VETUSDT,552,96331,60,1708397299,1708397360
binance-futures,ZILUSDT,439,76052,60,1708397299,1708397360
binance-futures,OMGUSDT,287,49162,60,1708397299,1708397360
binance-futures,KAVAUSDT,306,52922,60,1708397299,1708397360
binance-futures,SNXUSDT,304,51560,60,1708397299,1708397360
binance-futures,DOGEUSDT,1995,351620,60,1708397299,1708397360
binance-futures,SXPUSDT,372,63923,60,1708397299,1708397360
binance-futures,RLCUSDT,690,117196,60,1708397299,1708397360
binance-futures,MKRUSDT,454,78955,60,1708397299,1708397360
binance-futures,BANDUSDT,446,76062,60,1708397299,1708397360
binance-futures,WAVESUSDT,479,82284,60,1708397299,1708397360
binance-futures,DOTUSDT,1501,254991,60,1708397299,1708397360
binance-futures,ZRXUSDT,454,78130,60,1708397360,1708397421
binance-futures,QTUMUSDT,404,68805,60,1708397360,1708397421
binance-futures,VETUSDT,592,103281,60,1708397360,1708397421
binance-futures,NEOUSDT,418,71635,60,1708397360,1708397421
binance-futures,IOSTUSDT,250,43719,60,1708397360,1708397421
binance-futures,THETAUSDT,501,86862,60,1708397360,1708397421
binance-futures,ALGOUSDT,414,72509,60,1708397360,1708397421
binance-futures,ZILUSDT,382,66205,60,1708397360,1708397421
binance-futures,KNCUSDT,279,47492,60,1708397360,1708397421
