datasource,symbol,message_count,bytes,duration,start_time,end_time
bitfinex,tALGUST,16,2694,60,1708397115,1708397175
bitfinex,t1INCH:USD,15,1277,60,1708397115,1708397175
bitfinex,t1INCH:UST,15,1277,60,1708397115,1708397175
bitfinex,tAAVE:USD,15,1215,60,1708397115,1708397175
bitfinex,tAAVE:UST,15,1215,60,1708397115,1708397175
bitfinex,tADABTC,13,925,60,1708397115,1708397175
bitfinex,tADAUSD,15,1241,60,1708397115,1708397175
bitfinex,tADAUST,24,2201,60,1708397115,1708397175
bitfinex,tALGBTC,12,744,60,1708397115,1708397175
bitfinex,tALGUSD,15,1239,60,1708397115,1708397175
bitfinex,tALGUSD,16,1403,60,1708397175,1708397235
bitfinex,tALGUST,16,1404,60,1708397175,1708397235
bitfinex,tADABTC,20,1831,60,1708397175,1708397235
bitfinex,tADAUSD,16,1411,60,1708397175,1708397235
bitfinex,tADAUST,16,1392,60,1708397175,1708397235
bitfinex,tAAVE:UST,16,1368,60,1708397175,1708397235
bitfinex,tAAVE:USD,16,1364,60,1708397175,1708397235
bitfinex,t1INCH:UST,16,1443,60,1708397175,1708397235
bitfinex,t1INCH:USD,16,1444,60,1708397175,1708397235
bitfinex,tAPPUSD,13,2289,60,1708397175,1708397235
bitfinex,tALGBTC,12,744,60,1708397175,1708397235
bitfinex,tALT2612:USD,12,816,60,1708397175,1708397235
bitfinex,tALT2612:UST,12,816,60,1708397175,1708397235
bitfinex,tAMPUSD,14,1070,60,1708397175,1708397235
bitfinex,tAMPBTC,14,1119,60,1708397175,1708397235
bitfinex,tAMPUST,15,1229,60,1708397175,1708397235
bitfinex,tAPENFT:USD,12,804,60,1708397175,1708397235
bitfinex,tAPENFT:UST,12,804,60,1708397175,1708397235
bitfinex,tAPEUSD,15,1223,60,1708397175,1708397235
bitfinex,tAPEUST,15,1223,60,1708397175,1708397235
bitfinex,tALGUSD,16,1402,60,1708397235,1708397296
bitfinex,tALGUST,16,1397,60,1708397235,1708397296
bitfinex,tAMPUST,19,1702,60,1708397235,1708397296
bitfinex,tADAUST,16,1393,60,1708397235,1708397296
bitfinex,tADAUSD,16,1409,60,1708397235,1708397296
bitfinex,tAAVE:USD,16,1362,60,1708397235,1708397296
bitfinex,tAAVE:UST,16,1366,60,1708397235,1708397296
bitfinex,t1INCH:UST,16,1443,60,1708397235,1708397296
bitfinex,tAPEUSD,16,1378,60,1708397235,1708397296
bitfinex,tAPEUST,16,1379,60,1708397235,1708397296
bitfinex,tAVAX:USD,13,2422,60,1708397235,1708397296
bitfinex,t1INCH:USD,15,1279,60,1708397235,1708397296
bitfinex,tADABTC,18,1563,60,1708397235,1708397296
bitfinex,tALGBTC,12,744,60,1708397235,1708397296
bitfinex,tALT2612:USD,12,816,60,1708397235,1708397296
bitfinex,tALT2612:UST,12,816,60,1708397235,1708397296
bitfinex,tAMPUSD,15,1231,60,1708397235,1708397296
bitfinex,tAMPBTC,19,1674,60,1708397235,1708397296
bitfinex,tAPENFT:USD,12,804,60,1708397235,1708397296
bitfinex,tAPENFT:UST,12,804,60,1708397235,1708397296
bitfinex,tAPPUSD,12,756,60,1708397235,1708397296
bitfinex,tATOBTC,11,925,60,1708397235,1708397296
bitfinex,tATOUSD,12,1028,60,1708397235,1708397296
bitfinex,tATOUST,11,873,60,1708397235,1708397296
bitfinex,tAVAX:BTC,12,1134,60,1708397235,1708397296
bitfinex,tARBUSD,12,1043,60,1708397235,1708397296
bitfinex,tAPTUST,12,1028,60,1708397235,1708397296
bitfinex,tAPTUSD,12,1040,60,1708397235,1708397296
bitfinex,tARBUST,12,1041,60,1708397235,1708397296
bitfinex,tAPPUST,9,567,60,1708397235,1708397296
bitfinex,tADABTC,22,2150,60,1708397296,1708397357
bitfinex,tATOUSD,16,1366,60,1708397296,1708397357
bitfinex,tATOBTC,16,1470,60,1708397296,1708397357
bitfinex,tAMPUST,14,1075,60,1708397296,1708397357
bitfinex,tALGBTC,13,920,60,1708397296,1708397357
bitfinex,tALGUST,16,1404,60,1708397296,1708397357
bitfinex,tADAUSD,16,1407,60,1708397296,1708397357
bitfinex,tALGUSD,15,1238,60,1708397296,1708397357
bitfinex,tAVAX:USD,16,1411,60,1708397296,1708397357
bitfinex,tADAUST,16,1396,60,1708397296,1708397357
bitfinex,tAAVE:UST,16,1366,60,1708397296,1708397357
bitfinex,tAAVE:USD,16,1363,60,1708397296,1708397357
bitfinex,t1INCH:USD,16,1446,60,1708397296,1708397357
bitfinex,t1INCH:UST,16,1443,60,1708397296,1708397357
bitfinex,tATOUST,16,1365,60,1708397296,1708397357
bitfinex,tAVAX:BTC,16,1509,60,1708397296,1708397357
bitfinex,tAPEUSD,16,1380,60,1708397296,1708397357
bitfinex,tAPEUST,15,1222,60,1708397296,1708397357
bitfinex,tAPTUSD,15,1225,60,1708397296,1708397357
bitfinex,tARBUSD,16,1389,60,1708397296,1708397357
bitfinex,tARBUST,15,1233,60,1708397296,1708397357
bitfinex,tAPTUST,16,1372,60,1708397296,1708397357
bitfinex,tAPPUST,12,756,60,1708397296,1708397357
bitfinex,tBATUSD,16,2697,60,1708397296,1708397357
bitfinex,tALT2612:USD,12,816,60,1708397296,1708397357
bitfinex,tALT2612:UST,12,816,60,1708397296,1708397357
bitfinex,tAMPUSD,13,914,60,1708397296,1708397357
bitfinex,tAMPBTC,12,756,60,1708397296,1708397357
