datasource,symbol,message_count,bytes,duration,start_time,end_time
apollox,AXSUSDT,2061,340866,60,1708397114,1708397175
apollox,ADAUSDT,1342,223549,60,1708397114,1708397175
apollox,SANDUSDT,1359,229244,60,1708397114,1708397175
apollox,SOLUSDT,89,15169,60,1708397114,1708397175
apollox,DOGEUSDT,1313,228157,60,1708397114,1708397175
apollox,DOTUSDT,1462,241232,60,1708397114,1708397175
apollox,XRPUSDT,330,55978,60,1708397114,1708397175
apollox,ETHUSDT,90,15300,60,1708397114,1708397175
apollox,BTCUSDT,59,10030,60,1708397114,1708397175
apollox,ADAUSDT,1401,233610,60,1708397175,1708397235
apollox,SANDUSDT,1640,277815,60,1708397175,1708397235
apollox,DOTUSDT,1073,176428,60,1708397175,1708397235
apollox,DOGEUSDT,1148,199938,60,1708397175,1708397235
apollox,AXSUSDT,2532,418355,60,1708397175,1708397235
apollox,SOLUSDT,112,19050,60,1708397175,1708397235
apollox,GALAUSDT,1752,301371,60,1708397175,1708397235
apollox,FTMUSDT,1052,178854,60,1708397175,1708397235
apollox,LRCUSDT,2257,377817,60,1708397175,1708397235
apollox,NEARUSDT,248,40838,60,1708397175,1708397235
apollox,BNBUSDT,24,4032,60,1708397175,1708397235
apollox,ATOMUSDT,28,4739,60,1708397175,1708397235
apollox,XRPUSDT,988,167612,60,1708397175,1708397235
apollox,AVAXUSDT,20,3300,60,1708397175,1708397235
apollox,ETHUSDT,205,34850,60,1708397175,1708397235
apollox,BTCUSDT,184,31280,60,1708397175,1708397235
apollox,MATICUSDT,953,160290,60,1708397175,1708397235
apollox,TRXUSDT,316,53094,60,1708397175,1708397235
apollox,LTCUSDT,4,665,60,1708397175,1708397235
apollox,ADAUSDT,1486,247466,60,1708397235,1708397296
apollox,DOGEUSDT,1639,285304,60,1708397235,1708397296
apollox,SANDUSDT,834,140515,60,1708397235,1708397296
apollox,SOLUSDT,40,6810,60,1708397235,1708397296
apollox,FTMUSDT,1131,192208,60,1708397235,1708397296
apollox,LRCUSDT,1435,240156,60,1708397235,1708397296
apollox,TRXUSDT,180,30223,60,1708397235,1708397296
apollox,GALAUSDT,1692,290893,60,1708397235,1708397296
apollox,MATICUSDT,1685,283065,60,1708397235,1708397296
apollox,MANAUSDT,1014,167942,60,1708397235,1708397296
apollox,CAKEUSDT,1205,201344,60,1708397235,1708397296
apollox,BNBUSDT,122,20510,60,1708397235,1708397296
apollox,AVAXUSDT,74,12195,60,1708397235,1708397296
apollox,SKLUSDT,576,97126,60,1708397235,1708397296
apollox,APEUSDT,91,14947,60,1708397235,1708397296
apollox,RUNEUSDT,62,10215,60,1708397235,1708397296
apollox,DOTUSDT,223,36692,60,1708397235,1708397296
apollox,BTCUSDT,117,19890,60,1708397235,1708397296
apollox,ETCUSDT,43,7261,60,1708397235,1708397296
apollox,XRPUSDT,1152,195342,60,1708397235,1708397296
apollox,LTCUSDT,39,6493,60,1708397235,1708397296
apollox,AXSUSDT,891,147085,60,1708397235,1708397296
apollox,ATOMUSDT,19,3197,60,1708397235,1708397296
apollox,GMTUSDT,1163,195364,60,1708397235,1708397296
apollox,WAVESUSDT,11,1860,60,1708397235,1708397296
apollox,NEARUSDT,103,16944,60,1708397235,1708397296
apollox,ETHUSDT,113,19210,60,1708397235,1708397296
apollox,IMXUSDT,1151,188083,60,1708397235,1708397296
apollox,AAVEUSDT,17,2818,60,1708397235,1708397296
apollox,GALAUSDT,1894,326535,60,1708397296,1708397356
apollox,TRXUSDT,656,110154,60,1708397296,1708397356
apollox,LRCUSDT,1739,291132,60,1708397296,1708397356
apollox,MATICUSDT,1411,237477,60,1708397296,1708397356
apollox,FTMUSDT,923,157045,60,1708397296,1708397356
apollox,XRPUSDT,1193,202345,60,1708397296,1708397356
apollox,ADAUSDT,1170,195281,60,1708397296,1708397356
apollox,AXSUSDT,1126,186006,60,1708397296,1708397356
apollox,DOGEUSDT,1525,265394,60,1708397296,1708397356
apollox,SANDUSDT,985,166561,60,1708397296,1708397356
apollox,DOTUSDT,391,64185,60,1708397296,1708397356
apollox,GMTUSDT,8035,1349878,60,1708397296,1708397356
apollox,MANAUSDT,1178,195848,60,1708397296,1708397356
apollox,IMXUSDT,564,91683,60,1708397296,1708397356
apollox,SKLUSDT,1144,192890,60,1708397296,1708397356
apollox,CAKEUSDT,408,67385,60,1708397296,1708397356
apollox,ETCUSDT,51,8596,60,1708397296,1708397356
apollox,SOLUSDT,63,10724,60,1708397296,1708397356
apollox,APEUSDT,51,8420,60,1708397296,1708397356
apollox,OGNUSDT,393,65429,60,1708397296,1708397356
apollox,AUDIOUSDT,173,29040,60,1708397296,1708397356
apollox,SFPUSDT,1988,324976,60,1708397296,1708397356
apollox,KNCUSDT,1625,270844,60,1708397296,1708397356
apollox,COMPUSDT,456,76170,60,1708397296,1708397356
apollox,BNBUSDT,42,7056,60,1708397296,1708397356
apollox,ZILUSDT,908,154360,60,1708397296,1708397356
apollox,PEOPLEUSDT,1376,237923,60,1708397296,1708397356
apollox,DYDXUSDT,111,18532,60,1708397296,1708397356
apollox,NEARUSDT,343,56467,60,1708397296,1708397356
apollox,AAVEUSDT,379,62911,60,1708397296,1708397356
apollox,AVAXUSDT,257,42392,60,1708397296,1708397356
apollox,ETHUSDT,107,18190,60,1708397296,1708397356
apollox,CRVUSDT,26,4362,60,1708397296,1708397356
apollox,FILUSDT,354,58306,60,1708397296,1708397356
