datasource,symbol,message_count,bytes,duration,start_time,end_time
apollox,AXSUSDT,3121,513462,240,1708405084,1708405324
apollox,SANDUSDT,3335,561339,240,1708405084,1708405324
apollox,GALAUSDT,1710,290759,240,1708405084,1708405324
apollox,LRCUSDT,6368,1064643,240,1708405084,1708405324
apollox,SKLUSDT,5294,896947,240,1708405084,1708405324
apollox,ZILUSDT,3995,679155,240,1708405084,1708405324
apollox,PEOPLEUSDT,4221,728932,240,1708405084,1708405324
apollox,XRPUSDT,3835,649907,240,1708405084,1708405324
apollox,DOGEUSDT,4423,768941,240,1708405084,1708405324
apollox,MATICUSDT,3613,609339,240,1708405084,1708405324
apollox,FTMUSDT,5426,922323,240,1708405084,1708405324
apollox,FILUSDT,2180,359248,240,1708405084,1708405324
apollox,KNCUSDT,7016,1169478,240,1708405084,1708405324
apollox,JASMYUSDT,5510,957588,240,1708405084,1708405324
apollox,VETUSDT,601,103195,240,1708405084,1708405324
apollox,LINAUSDT,1561,268946,240,1708405084,1708405324
apollox,ETHUSDT,517,87890,240,1708405084,1708405324
apollox,BTCUSDT,296,50320,240,1708405084,1708405324
apollox,WAVESUSDT,910,155016,240,1708405084,1708405324
apollox,AAVEUSDT,3376,560262,240,1708405084,1708405324
apollox,GMTUSDT,2929,492292,240,1708405084,1708405324
apollox,CRVUSDT,56,9393,240,1708405084,1708405324
apollox,RUNEUSDT,856,140741,240,1708405084,1708405324
apollox,IOSTUSDT,3412,591480,240,1708405084,1708405324
apollox,ATOMUSDT,173,29639,240,1708405084,1708405324
apollox,TRXUSDT,1695,284532,240,1708405084,1708405324
apollox,SFPUSDT,5713,941943,240,1708405084,1708405324
apollox,SOLUSDT,235,40024,240,1708405084,1708405324
apollox,NEARUSDT,1520,250874,240,1708405084,1708405324
apollox,ADAUSDT,4334,722227,240,1708405084,1708405324
apollox,DYDXUSDT,495,82741,240,1708405084,1708405324
apollox,AVAXUSDT,3258,537912,240,1708405084,1708405324
